Rodada;Data;Horário;Time da casa;Time da casa.1;Time visitante;Time visitante.1;Sistema de jogo;Treinadores;Público;Resultado;Unnamed: 11;Unnamed: 12;REF_GESTAO
Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Juvenal Juvêncio (2006-2014)
final - jogo de ida;qua 03/07/13;21:50;;São Paulo;;Corinthians;4-4-2 duplo 6;Ney Franco;31.769;1:2;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
6;dom 07/07/13;16:00;;São Paulo (6.);;Santos (14.);4-4-2 duplo 6;Paulo Autuori;11.819;0:2;;;Juvenal Juvêncio (2006-2014)
11;qua 10/07/13;21:00;;São Paulo (15.);;Bahia (4.);4-3-3 defensivo;Milton Cruz;4.579;1:2;;;Juvenal Juvêncio (2006-2014)
7;dom 14/07/13;16:00;;Vitória (3.);;São Paulo (9.);4-4-2 duplo 6;Paulo Autuori;11.227;3:2;;;Juvenal Juvêncio (2006-2014)
Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Recopa Sul-Americana;Juvenal Juvêncio (2006-2014)
final - jogo de volta;qua 17/07/13;21:50;;Corinthians;;São Paulo;4-3-1-2;Paulo Autuori;38.050;2:0;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
8;sáb 20/07/13;18:30;;São Paulo (13.);;Cruzeiro (4.);4-4-2 duplo 6;Paulo Autuori;11.675;0:3;;;Juvenal Juvêncio (2006-2014)
12;qua 24/07/13;21:00;;São Paulo (15.);;Internacional (9.);4-4-2 duplo 6;Paulo Autuori;6.275;0:1;;;Juvenal Juvêncio (2006-2014)
9;dom 28/07/13;16:00;;Corinthians (12.);;São Paulo (15.);4-3-1-2;Paulo Autuori;33.336;0:0;;;Juvenal Juvêncio (2006-2014)
J. League Cup / Copa Sudamericana Supercup;J. League Cup / Copa Sudamericana Supercup;J. League Cup / Copa Sudamericana Supercup;J. League Cup / Copa Sudamericana Supercup;J. League Cup / Copa Sudamericana Supercup;J. League Cup / Copa Sudamericana Supercup;J. League Cup / Copa Sudamericana Supercup;J. League Cup / Copa Sudamericana Supercup;J. League Cup / Copa Sudamericana Supercup;J. League Cup / Copa Sudamericana Supercup;J. League Cup / Copa Sudamericana Supercup;J. League Cup / Copa Sudamericana Supercup;J. League Cup / Copa Sudamericana Supercup;Juvenal Juvêncio (2006-2014)
final;qua 07/08/13;07:00;;Kashima Antlers;;São Paulo;4-4-2 duplo 6;Paulo Autuori;26.202;3:2;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
13;dom 11/08/13;18:30;;Portuguesa (20.);;São Paulo (15.);4-4-2 duplo 6;Paulo Autuori;8.593;2:1;;;Juvenal Juvêncio (2006-2014)
14;qui 15/08/13;19:30;;São Paulo (17.);;Atlético-PR (5.);4-4-2 duplo 6;Paulo Autuori;25.827;1:1;;;Juvenal Juvêncio (2006-2014)
15;dom 18/08/13;16:00;;Flamengo (16.);;São Paulo (18.);4-4-2 duplo 6;Paulo Autuori;44.164;0:0;;;Juvenal Juvêncio (2006-2014)
16;dom 25/08/13;16:00;;São Paulo (18.);;Fluminense (14.);4-4-2 duplo 6;Paulo Autuori;55.256;2:1;;;Juvenal Juvêncio (2006-2014)
17;dom 01/09/13;16:00;;Botafogo (2.);;São Paulo (16.);4-4-2 duplo 6;Paulo Autuori;28.591;0:0;;;Juvenal Juvêncio (2006-2014)
10;ter 03/09/13;21:00;;Náutico (18.);;São Paulo (17.);4-4-2 duplo 6;Paulo Autuori;12.217;0:1;;;Juvenal Juvêncio (2006-2014)
18;qui 05/09/13;21:00;;São Paulo (16.);;Criciúma (13.);4-3-3 defensivo;Paulo Autuori;33.738;1:2;;;Juvenal Juvêncio (2006-2014)
19;dom 08/09/13;16:00;;Coritiba (9.);;São Paulo (17.);4-4-2 duplo 6;Paulo Autuori;16.367;2:0;;;Juvenal Juvêncio (2006-2014)
20;qui 12/09/13;21:00;;São Paulo (17.);;Ponte Preta (19.);4-4-2 duplo 6;Muricy Ramalho;27.548;1:0;;;Juvenal Juvêncio (2006-2014)
21;dom 15/09/13;16:00;;Vasco da Gama (13.);;São Paulo (17.);4-4-2 duplo 6;Muricy Ramalho;10.961;0:2;;;Juvenal Juvêncio (2006-2014)
22;qua 18/09/13;21:50;;São Paulo (15.);;Atlético-MG (6.);4-4-2 duplo 6;Muricy Ramalho;28.503;1:0;;;Juvenal Juvêncio (2006-2014)
23;dom 22/09/13;16:00;;Goiás (11.);;São Paulo (14.);4-4-2 duplo 6;Muricy Ramalho;24.789;1:0;;;Juvenal Juvêncio (2006-2014)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Juvenal Juvêncio (2006-2014)
Oitavas de final - Jogos de ida;qui 26/09/13;22:00;;São Paulo;;Univ. Católica;4-4-2 duplo 6;Muricy Ramalho;;1:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
24;dom 29/09/13;16:00;;São Paulo (14.);;Grêmio (4.);4-4-2 duplo 6;Muricy Ramalho;41.140;0:1;;;Juvenal Juvêncio (2006-2014)
25;qua 02/10/13;21:50;;Santos (9.);;São Paulo (15.);4-4-2 duplo 6;Muricy Ramalho;7.788;3:0;;;Juvenal Juvêncio (2006-2014)
26;sáb 05/10/13;21:00;;São Paulo (17.);;Vitória (6.);4-4-2 duplo 6;Muricy Ramalho;22.285;3:2;;;Juvenal Juvêncio (2006-2014)
27;qua 09/10/13;21:50;;Cruzeiro (1.);;São Paulo (16.);5-3-2;Muricy Ramalho;40.743;0:2;;;Juvenal Juvêncio (2006-2014)
28;dom 13/10/13;16:00;;São Paulo (15.);;Corinthians (11.);5-3-2;Muricy Ramalho;50.282;0:0;;;Juvenal Juvêncio (2006-2014)
29;qua 16/10/13;21:00;;São Paulo (13.);;Náutico (20.);5-3-2;Muricy Ramalho;14.942;3:0;;;Juvenal Juvêncio (2006-2014)
30;dom 20/10/13;16:00;;Bahia (13.);;São Paulo (10.);?;Muricy Ramalho;24.765;0:1;;;Juvenal Juvêncio (2006-2014)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Juvenal Juvêncio (2006-2014)
Oitavas de final - Jogos de volta;qua 23/10/13;21:50;;Univ. Católica;;São Paulo;?;Muricy Ramalho;;3:4;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
31;dom 27/10/13;16:00;;Internacional (9.);;São Paulo (10.);?;Muricy Ramalho;5.603;2:3;;;Juvenal Juvêncio (2006-2014)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Juvenal Juvêncio (2006-2014)
Quartas de final - Jogos de ida;qua 30/10/13;21:50;;São Paulo;;Atl. Nacional;?;Muricy Ramalho;;3:2;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
32;sáb 02/11/13;19:30;;São Paulo (9.);;Portuguesa (16.);?;Muricy Ramalho;50.802;2:1;;;Juvenal Juvêncio (2006-2014)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Juvenal Juvêncio (2006-2014)
quartas de final - Jogos de volta;qua 06/11/13;21:50;;Atl. Nacional;;São Paulo;?;Muricy Ramalho;;0:0;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
33;dom 10/11/13;17:00;;Atlético-PR (2.);;São Paulo (8.);5-3-2;Muricy Ramalho;12.754;3:0;;;Juvenal Juvêncio (2006-2014)
34;qua 13/11/13;21:50;;São Paulo (8.);;Flamengo (12.);?;Muricy Ramalho;15.636;2:0;;;Juvenal Juvêncio (2006-2014)
35;dom 17/11/13;17:00;;Fluminense (15.);;São Paulo (8.);?;Muricy Ramalho;37.310;2:1;;;Juvenal Juvêncio (2006-2014)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Juvenal Juvêncio (2006-2014)
Semifinais - Jogos de ida;qua 20/11/13;21:50;;São Paulo;;Ponte Preta;3-5-2;Muricy Ramalho;;1:3;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
36;dom 24/11/13;19:30;;São Paulo (8.);;Botafogo (5.);4-4-2 duplo 6;Muricy Ramalho;12.692;1:1;;;Juvenal Juvêncio (2006-2014)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Juvenal Juvêncio (2006-2014)
semifinais - Jogos de volta;qua 27/11/13;21:50;;Ponte Preta;;São Paulo;3-5-2;Muricy Ramalho;12.161;1:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Juvenal Juvêncio (2006-2014)
37;dom 01/12/13;17:00;;Criciúma (14.);;São Paulo (9.);?;Muricy Ramalho;18.081;1:0;;;Juvenal Juvêncio (2006-2014)
38;dom 08/12/13;17:00;;São Paulo (9.);;Coritiba (14.);4-2-3-1;Muricy Ramalho;9.220;0:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Juvenal Juvêncio (2006-2014)
1;dom 19/01/14;19:00;;Bragantino;;São Paulo;?;Muricy Ramalho;;2:0;;;Juvenal Juvêncio (2006-2014)
2;qui 23/01/14;00:00;;São Paulo;;Mogi Mirim;?;Muricy Ramalho;;4:0;;;Juvenal Juvêncio (2006-2014)
3;dom 26/01/14;19:00;;São Paulo;;Oeste;?;Muricy Ramalho;8.954;2:1;;;Juvenal Juvêncio (2006-2014)
4;qui 30/01/14;00:00;;São Paulo;;Rio Claro;?;Muricy Ramalho;5.895;6:3;;;Juvenal Juvêncio (2006-2014)
5;dom 02/02/14;19:00;;Palmeiras;;São Paulo;?;Muricy Ramalho;;2:0;;;Juvenal Juvêncio (2006-2014)
6;qui 06/02/14;21:30;;São Paulo;;Paulista;?;Muricy Ramalho;;2:0;;;Juvenal Juvêncio (2006-2014)
7;dom 09/02/14;19:00;;Ponte Preta;;São Paulo;?;Muricy Ramalho;5.900;2:1;;;Juvenal Juvêncio (2006-2014)
8;sáb 15/02/14;22:00;;São Paulo;;Portuguesa;?;Muricy Ramalho;9.754;0:0;;;Juvenal Juvêncio (2006-2014)
9;qui 20/02/14;22:00;;São Bernardo;;São Paulo;?;Muricy Ramalho;12.840;1:1;;;Juvenal Juvêncio (2006-2014)
10;dom 23/02/14;17:00;;São Paulo;;Santos;?;Muricy Ramalho;16.337;0:0;;;Juvenal Juvêncio (2006-2014)
11;qua 26/02/14;23:00;;XV Piracicaba;;São Paulo;?;Muricy Ramalho;8.980;1:3;;;Juvenal Juvêncio (2006-2014)
12;qua 05/03/14;23:00;;São Paulo;;GO Audax;?;Muricy Ramalho;5.491;4:0;;;Juvenal Juvêncio (2006-2014)
13;dom 09/03/14;17:00;;Corinthians;;São Paulo;?;Muricy Ramalho;29.119;2:3;;;Juvenal Juvêncio (2006-2014)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Juvenal Juvêncio (2006-2014)
1ª eliminatória - jogos de ida;qua 12/03/14;22:00;;CSA;;São Paulo;?;Muricy Ramalho;17.008;0:1;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Juvenal Juvêncio (2006-2014)
14;dom 16/03/14;17:00;;São Paulo;;Ituano;?;Muricy Ramalho;15.171;0:1;;;Juvenal Juvêncio (2006-2014)
15;dom 23/03/14;17:00;;Botafogo-SP;;São Paulo;?;Muricy Ramalho;6.934;0:2;;;Juvenal Juvêncio (2006-2014)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Juvenal Juvêncio (2006-2014)
quartas de final;qua 26/03/14;23:00;;São Paulo;;Penapolense;?;Muricy Ramalho;16.955;4:5 pen.;;;Juvenal Juvêncio (2006-2014)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Juvenal Juvêncio (2006-2014)
1ª eliminatória - jogos de volta;qua 09/04/14;21:00;;São Paulo;;CSA;?;Muricy Ramalho;28.742;3:0;;;Juvenal Juvêncio (2006-2014)
