Rodada;Data;Horário;Time da casa;Time da casa.1;Time visitante;Time visitante.1;Sistema de jogo;Treinadores;Público;Resultado;Unnamed: 11;Unnamed: 12;REF_GESTAO
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
2ª eliminatória - jogos de volta;qui 04/09/14;20:00;;São Paulo;;Criciúma;4-2-3-1;Muricy Ramalho;;2:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
19;dom 07/09/14;16:00;;São Paulo (3.);;Sport (7.);4-4-2 duplo 6;Muricy Ramalho;25.149;2:0;;;Carlos Miguel Aidar (2014-2015)
20;qua 10/09/14;22:00;;Botafogo (12.);;São Paulo (2.);4-4-2 duplo 6;Muricy Ramalho;24.857;2:4;;;Carlos Miguel Aidar (2014-2015)
21;dom 14/09/14;16:00;;São Paulo (2.);;Cruzeiro (1.);4-4-2 duplo 6;Muricy Ramalho;58.627;2:0;;;Carlos Miguel Aidar (2014-2015)
22;qua 17/09/14;22:00;;Coritiba (18.);;São Paulo (2.);4-4-2 duplo 6;Muricy Ramalho;16.201;3:1;;;Carlos Miguel Aidar (2014-2015)
23;dom 21/09/14;16:00;;Corinthians (5.);;São Paulo (2.);4-4-2 duplo 6;Muricy Ramalho;34.688;3:2;;;Carlos Miguel Aidar (2014-2015)
24;qua 24/09/14;22:00;;São Paulo (2.);;Flamengo (11.);4-4-2 duplo 6;Muricy Ramalho;16.571;2:2;;;Carlos Miguel Aidar (2014-2015)
25;sáb 27/09/14;21:00;;São Paulo (3.);;Fluminense (7.);4-4-2 duplo 6;Muricy Ramalho;16.076;1:3;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
Oitavas de final - Jogos de ida;ter 30/09/14;20:30;;São Paulo;;Huachipato;4-4-2 duplo 6;Muricy Ramalho;;1:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
26;sáb 04/10/14;16:20;;Grêmio (5.);;São Paulo (3.);4-4-2 duplo 6;Muricy Ramalho;43.653;0:1;;;Carlos Miguel Aidar (2014-2015)
27;qua 08/10/14;19:30;;São Paulo (3.);;Atlético-PR (12.);4-3-3 defensivo;Muricy Ramalho;9.795;1:0;;;Carlos Miguel Aidar (2014-2015)
28;dom 12/10/14;16:00;;Atlético-MG (6.);;São Paulo (2.);4-2-3-1;Muricy Ramalho;15.288;1:0;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
Oitavas de final - Jogos de volta;qua 15/10/14;19:30;;Huachipato;;São Paulo;4-4-2 duplo 6;Muricy Ramalho;;2:3;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
29;sáb 18/10/14;18:30;;São Paulo (3.);;Bahia (17.);4-2-3-1;Muricy Ramalho;21.961;2:1;;;Carlos Miguel Aidar (2014-2015)
30;qua 22/10/14;22:00;;Chapecoense (15.);;São Paulo (2.);4-4-2 duplo 6;Muricy Ramalho;15.095;0:0;;;Carlos Miguel Aidar (2014-2015)
31;seg 27/10/14;20:30;;São Paulo (2.);;Goiás (9.);4-4-2 duplo 6;Muricy Ramalho;31.907;3:0;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
Quartas de final - Jogos de ida;qui 30/10/14;20:15;;São Paulo;;CS Emelec;4-2-3-1;Muricy Ramalho;22.705;4:2;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
32;dom 02/11/14;17:00;;Criciúma (20.);;São Paulo (2.);4-4-2 duplo 6;Muricy Ramalho;12.388;1:2;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
quartas de final - Jogos de volta;qua 05/11/14;22:00;;CS Emelec;;São Paulo;4-2-3-1;Muricy Ramalho;15.000;3:2;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
33;dom 09/11/14;17:00;;Vitória (16.);;São Paulo (2.);4-3-3 defensivo;Muricy Ramalho;18.035;1:2;;;Carlos Miguel Aidar (2014-2015)
35;qua 12/11/14;22:00;;São Paulo (2.);;Internacional (5.);4-4-2 duplo 6;Muricy Ramalho;22.504;1:1;;;Carlos Miguel Aidar (2014-2015)
34;dom 16/11/14;19:30;;São Paulo (2.);;Palmeiras (14.);4-4-2 duplo 6;Muricy Ramalho;36.764;2:0;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
Semifinais - Jogos de ida;qua 19/11/14;22:00;;Atl. Nacional;;São Paulo;4-4-2 duplo 6;Muricy Ramalho;;1:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
36;dom 23/11/14;17:00;;Santos (8.);;São Paulo (2.);4-3-3 defensivo;Muricy Ramalho;33.247;0:1;;;Carlos Miguel Aidar (2014-2015)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Carlos Miguel Aidar (2014-2015)
semifinais - Jogos de volta;qua 26/11/14;22:00;;São Paulo;;Atl. Nacional;4-2-3-1;Muricy Ramalho;;2:4 pen.;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
37;dom 30/11/14;17:00;;São Paulo (2.);;Figueirense (12.);4-4-2 duplo 6;Muricy Ramalho;33.334;1:1;;;Carlos Miguel Aidar (2014-2015)
38;dom 07/12/14;17:00;;Sport (11.);;São Paulo (2.);4-4-2 duplo 6;Muricy Ramalho;33.496;1:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Carlos Miguel Aidar (2014-2015)
1;dom 01/02/15;18:00;;Penapolense;;São Paulo;?;Muricy Ramalho;;1:3;;;Carlos Miguel Aidar (2014-2015)
2;qua 04/02/15;20:30;;São Paulo;;Capivariano;?;Muricy Ramalho;;4:2;;;Carlos Miguel Aidar (2014-2015)
3;sáb 07/02/15;20:30;;São Paulo;;XV Piracicaba;?;Muricy Ramalho;;2:0;;;Carlos Miguel Aidar (2014-2015)
4;qua 11/02/15;23:00;;Santos;;São Paulo;?;Muricy Ramalho;;0:0;;;Carlos Miguel Aidar (2014-2015)
5;sáb 14/02/15;19:30;;Bragantino;;São Paulo;?;Muricy Ramalho;;0:5;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
Grupo 2;qua 18/02/15;22:00;;Corinthians;;São Paulo;4-3-1-2;Muricy Ramalho;38.487;2:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Carlos Miguel Aidar (2014-2015)
6;sáb 21/02/15;18:00;;São Paulo;;GO Audax;?;Muricy Ramalho;;4:0;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
Grupo 2;qua 25/02/15;22:00;;São Paulo;;Danubio FC;4-4-2;Muricy Ramalho;35.000;4:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Carlos Miguel Aidar (2014-2015)
7;dom 01/03/15;16:00;;Rio Claro;;São Paulo;?;Muricy Ramalho;;0:0;;;Carlos Miguel Aidar (2014-2015)
8;dom 08/03/15;16:00;;São Paulo;;Corinthians;?;Muricy Ramalho;;0:1;;;Carlos Miguel Aidar (2014-2015)
9;qui 12/03/15;19:30;;São Paulo;;São Bento;?;Muricy Ramalho;;1:0;;;Carlos Miguel Aidar (2014-2015)
10;dom 15/03/15;16:00;;Ponte Preta;;São Paulo;?;Muricy Ramalho;;1:2;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
Grupo 2;qua 18/03/15;22:00;;São Paulo;;San Lorenzo;4-4-2 duplo 6;Muricy Ramalho;26.236;1:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Carlos Miguel Aidar (2014-2015)
11;dom 22/03/15;16:00;;São Paulo;;Marília;?;Muricy Ramalho;;3:0;;;Carlos Miguel Aidar (2014-2015)
12;qua 25/03/15;22:00;;Palmeiras;;São Paulo;?;Muricy Ramalho;;3:0;;;Carlos Miguel Aidar (2014-2015)
13;dom 29/03/15;15:00;;São Paulo;;Linense;?;Muricy Ramalho;;3:0;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
Grupo 2;qua 01/04/15;19:45;;San Lorenzo;;São Paulo;4-4-2 duplo 6;Muricy Ramalho;;1:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Carlos Miguel Aidar (2014-2015)
14;dom 05/04/15;15:00;;Botafogo-SP;;São Paulo;?;Muricy Ramalho;;2:0;;;Carlos Miguel Aidar (2014-2015)
15;qua 08/04/15;21:00;;São Paulo;;Portuguesa;?;Milton Cruz;;3:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Carlos Miguel Aidar (2014-2015)
quartas de final;sáb 11/04/15;17:30;;São Paulo;;RB Brasil;?;Milton Cruz;;3:0;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
Grupo 2;qua 15/04/15;22:00;;Danubio FC;;São Paulo;4-1-4-1;Milton Cruz;5.000;1:2;;;Carlos Miguel Aidar (2014-2015)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Carlos Miguel Aidar (2014-2015)
semifinais;dom 19/04/15;17:30;;Santos;;São Paulo;?;Milton Cruz;;2:1;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
Grupo 2;qua 22/04/15;22:00;;São Paulo;;Corinthians;4-3-2-1;Milton Cruz;;2:0;;;Carlos Miguel Aidar (2014-2015)
Oitavas de final - Jogos de ida;qua 06/05/15;22:00;;São Paulo;;Cruzeiro;4-2-3-1;André Jardine;66.369;1:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
1;dom 10/05/15;16:00;;São Paulo (4.);;Flamengo (12.);4-3-2-1;André Jardine;13.656;2:1;;;Carlos Miguel Aidar (2014-2015)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Carlos Miguel Aidar (2014-2015)
Oitavas de final - Jogos de volta;qua 13/05/15;19:30;;Cruzeiro;;São Paulo;4-2-3-1;Milton Cruz;37.719;5:3 pen.;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
2;dom 17/05/15;18:30;;Ponte Preta (8.);;São Paulo (4.);4-2-3-1;Milton Cruz;x;1:0;;;Carlos Miguel Aidar (2014-2015)
3;sáb 23/05/15;18:30;;São Paulo (10.);;Joinville (17.);4-2-3-1;Milton Cruz;12.690;3:0;;;Carlos Miguel Aidar (2014-2015)
