Rodada;Data;Horário;Time da casa;Time da casa.1;Time visitante;Time visitante.1;Sistema de jogo;Treinadores;Público;Resultado;Unnamed: 11;Unnamed: 12;REF_GESTAO
4;dom 07/05/23;16:00;;São Paulo (8.);;Internacional (4.);4-2-3-1;Dorival Júnior;46.093;2:0;;;Julio Casares (2021-Presente)
5;qui 11/05/23;20:00;;Fortaleza (4.);;São Paulo (5.);4-3-3 ofensivo;Dorival Júnior;37.775;0:0;;;Julio Casares (2021-Presente)
6;dom 14/05/23;16:00;;Corinthians (17.);;São Paulo (7.);4-2-3-1;Dorival Júnior;41.434;1:1;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
Oitavas de final - Jogos de ida;qua 17/05/23;20:00;;Sport;;São Paulo;4-2-3-1;Dorival Júnior;22.889;0:2;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
7;sáb 20/05/23;18:30;;São Paulo (10.);;Vasco da Gama (16.);4-2-3-1;Dorival Júnior;57.399;4:2;;;Julio Casares (2021-Presente)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Julio Casares (2021-Presente)
Grupo D;ter 23/05/23;21:30;;Puerto Cabello;;São Paulo;4-2-3-1;Dorival Júnior;2.254;0:2;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
8;sáb 27/05/23;21:00;;São Paulo (8.);;Goiás (16.);4-2-3-1;Dorival Júnior;45.429;2:1;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
Oitavas de final - Jogos de volta;qui 01/06/23;19:30;;São Paulo;;Sport;4-2-3-1;Dorival Júnior;49.752;6:6 pen.;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
9;dom 04/06/23;16:00;;Grêmio (5.);;São Paulo (3.);3-4-2-1;Dorival Júnior;42.207;2:1;;;Julio Casares (2021-Presente)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Julio Casares (2021-Presente)
Grupo D;qui 08/06/23;19:00;;São Paulo;;Deportes Tolima;4-2-3-1;Dorival Júnior;44.102;5:0;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
10;dom 11/06/23;16:00;;São Paulo (8.);;Palmeiras (2.);4-2-3-1;Dorival Júnior;56.871;0:2;;;Julio Casares (2021-Presente)
11;qua 21/06/23;19:00;;São Paulo (8.);;Athletico-PR (7.);4-2-3-1;Dorival Júnior;22.882;2:1;;;Julio Casares (2021-Presente)
12;sáb 24/06/23;21:00;;Cruzeiro (12.);;São Paulo (6.);4-2-3-1;Dorival Júnior;17.478;1:0;;;Julio Casares (2021-Presente)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Julio Casares (2021-Presente)
Grupo D;ter 27/06/23;21:30;;São Paulo;;Tigre;4-3-3 ofensivo;Dorival Júnior;28.699;2:0;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
13;sáb 01/07/23;16:00;;São Paulo (11.);;Fluminense (5.);4-4-2 losango;Dorival Júnior;49.153;1:0;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
Quartas de final - Jogos de ida;qua 05/07/23;19:30;;São Paulo;;Palmeiras;4-2-3-1;Dorival Júnior;54.593;1:0;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
14;dom 09/07/23;16:00;;Bragantino (5.);;São Paulo (7.);4-3-3 ofensivo;Dorival Júnior;9.411;0:0;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
quartas de final - Jogos de volta;qui 13/07/23;20:00;;Palmeiras;;São Paulo;4-2-3-1;Dorival Júnior;41.451;1:2;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
15;dom 16/07/23;16:00;;São Paulo (8.);;Santos (13.);4-2-3-1;Dorival Júnior;58.127;4:1;;;Julio Casares (2021-Presente)
16;sáb 22/07/23;18:30;;Cuiabá (13.);;São Paulo (4.);4-2-3-1;Dorival Júnior;34.072;2:1;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
